CODCATEGORIAECONOMICA;CODELEMENTODESPESA;CODGRUPONATUREZADESPESA;CODMODALIDADEAPLICACAO;CODORGAO;CODSUBELEMENTODESPESA;CATEGORIAECONOMICA;GRUPONATUREZADESPESA;MODALIDADEAPLICACAO;ELEMENTODESPESA;SUBELEMENTODESPESA;EXERCICIO;ANOMESEMISSAO;ANOEMISSAO;MESEMISSAO;NOMEORGAO;VALORLIQUIDADO;CODACAO;ACAO;CODPROGRAMA;PROGRAMA;VALORPAGO;VALOREMPENHADO
3;36;1;90;1950;21;"Despesas Correntes";"Serviço de Apoio Administrativo, Técnico e Operacional";"APLICACOES DIRETAS";"OUTROS SERVIÇOS DE TERCEIROS - PESSOA FÍSICA";"Serviços Técnicos Profissionais";2019;201907;2019;7;"FUNDO ESP. PAG. ADVOG. DATIVOS/S. A. J.";664137,42;2033;"ASSISTÊNCIA JURÍDICA JUDICIAL E EXTRAJUDICIAL";1008;"PROGRAMA ACESSO A JUSTIÇA INTEGRAL E GRATUITA";664137,42;
3;47;70;90;1950;2;"Despesas Correntes";"Obrigações Tributárias e Encargos Adicionais";"APLICACOES DIRETAS";"OBRIGAÇÕES TRIBUTÁRIAS E CONTRIBUTIVAS";"Contribuições para o PIS-PASEP";2019;201907;2019;7;"FUNDO ESP. PAG. ADVOG. DATIVOS/S. A. J.";10823,61;2033;"ASSISTÊNCIA JURÍDICA JUDICIAL E EXTRAJUDICIAL";1008;"PROGRAMA ACESSO A JUSTIÇA INTEGRAL E GRATUITA";10823,61;
3;47;70;90;1950;4;"Despesas Correntes";"Obrigações Tributárias e Encargos Adicionais";"APLICACOES DIRETAS";"OBRIGAÇÕES TRIBUTÁRIAS E CONTRIBUTIVAS";"Contribuição Previdenciária Patronal de Serviços de Terceiros";2019;201907;2019;7;"FUNDO ESP. PAG. ADVOG. DATIVOS/S. A. J.";123792;2033;"ASSISTÊNCIA JURÍDICA JUDICIAL E EXTRAJUDICIAL";1008;"PROGRAMA ACESSO A JUSTIÇA INTEGRAL E GRATUITA";123792;10632,18
3;39;15;90;1250;35;"Despesas Correntes";"Publicidade, Marketing e Demais Produções / Comunicações Audiovisuais";"APLICACOES DIRETAS";"OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA";"Serviços de Publicidade e Propaganda";2019;201907;2019;7;"FUNDO ESPECIAL DE COMUNICAÇÃO - FECOM";769537,55;2038;"DIVULGAÇÃO E VEICULAÇÃO DAS AÇÕES GOVERNAMENTAIS";1010;"PROGRAMA TRANSPARÊNCIA E CONTROLE SOCIAL";769537,55;
3;40;0;90;1501;84;"Despesas Correntes";"Não Agrupado";"APLICACOES DIRETAS";"Serviços de Tecnologia da Informação e Comunicação - Pessoa Jurídica";"Manutenção, Suporte e Instalação de Softwares";2019;201907;2019;7;"GAB. DO SECRET. CHEFE DA CGE";35744,8;2041;"IMPLANTAÇÃO E/OU APRIMORAMENTO DE CANAIS DE TRANSPARÊNCIA";1010;"PROGRAMA TRANSPARÊNCIA E CONTROLE SOCIAL";20425,6;
3;32;17;90;1750;7;"Despesas Correntes";"Auxílios / Transferências de Recursos à Pessoas Físicas";"APLICACOES DIRETAS";"MATERIAL, BEM OU SERVIÇO PARA DISTRIBUIÇÃO GRATUITA";"Passagens para Trasnporte em Geral";2019;201907;2019;7;"PROTEGE GOIÁS";762767,3;2045;"PASSE LIVRE ESTUDANTIL";1012;"PROGRAMA VALORIZAÇÃO DA JUVENTUDE";0;
3;39;16;90;2550;6;"Despesas Correntes";"Eventos, Festividades e Homenagens";"APLICACOES DIRETAS";"OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA";"Festividades e Homenagens";2019;201907;2019;7;"FUNDO DE ARTE E CULTURA DE GOIÁS";277927,6;2050;"PROMOÇÃO AS LEIS DE INCENTIVO E APOIO  AS ATIVIDADES CULTURAIS";1013;"PROGRAMA APOIO, PROMOÇÃO E FORTALECIMENTO DA CULTURA GOIANA";413906,84;
3;41;92;40;2550;21;"Despesas Correntes";"Transferências legais e voluntárias aos Municípios e outras unidades federativas";"TRANSFERÊNCIAS A MUNICÍPIOS";CONTRIBUIÇÕES;"Contribuições para Municípios, inclusive para suas Entidades da Administração Indireta";2019;201907;2019;7;"FUNDO DE ARTE E CULTURA DE GOIÁS";250000;2050;"PROMOÇÃO AS LEIS DE INCENTIVO E APOIO  AS ATIVIDADES CULTURAIS";1013;"PROGRAMA APOIO, PROMOÇÃO E FORTALECIMENTO DA CULTURA GOIANA";250000;
3;39;16;90;2550;80;"Despesas Correntes";"Eventos, Festividades e Homenagens";"APLICACOES DIRETAS";"OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA";"Serviços Artísticos e Culturais";2019;201907;2019;7;"FUNDO DE ARTE E CULTURA DE GOIÁS";0;2053;"PROMOÇÃO DA MÚSICA";1013;"PROGRAMA APOIO, PROMOÇÃO E FORTALECIMENTO DA CULTURA GOIANA";40000;
3;47;70;90;2650;2;"Despesas Correntes";"Obrigações Tributárias e Encargos Adicionais";"APLICACOES DIRETAS";"OBRIGAÇÕES TRIBUTÁRIAS E CONTRIBUTIVAS";"Contribuições para o PIS-PASEP";2019;201907;2019;7;"FUNDO ESPECIAL DE ESPORTE E LAZER";286,71;2062;"MODERNIZAÇÃO E MANUTENÇÃO DE ESPAÇOS ESPORTIVOS";1015;"PROGRAMA ESPORTE EM AÇÃO - ESPORTE E LAZER PARA TODOS";286,71;
4;52;61;90;2601;12;"Despesas de Capital";"Demais Aquisições de Aparelhos e Equipamentos Diversos";"APLICACOES DIRETAS";"EQUIPAMENTOS E MATERIAL PERMANENTE";"Equipamentos de Proteção, Segurança e Socorro";2019;201907;2019;7;"GAB. SEC. ESTADO DE ESPORTE E LAZER";;2062;"MODERNIZAÇÃO E MANUTENÇÃO DE ESPAÇOS ESPORTIVOS";1015;"PROGRAMA ESPORTE EM AÇÃO - ESPORTE E LAZER PARA TODOS";16345,53;
3;39;26;90;2402;51;"Despesas Correntes";Seguros;"APLICACOES DIRETAS";"OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA";"Seguros ( Pessoais / Bens Móveis e Imóveis )";2019;201907;2019;7;"SUBSEC. DE GOV. EDUCACIONAL";61,57;2072;"EDUCAÇÃO DE JOVENS E ADULTOS E ENSINO MÉDIO INTEGRADA OU CONCOMITANTE À EDUCAÇÃO PROFISSIONAL";1016;"PROGRAMA EXCELÊNCIA E EQUIDADE - AÇÕES PARA O DESENVOLVIMENTO E MELHORIA DA EDUCAÇÃO BÁSICA";61,57;
3;48;17;90;2202;5;"Despesas Correntes";"Auxílios / Transferências de Recursos à Pessoas Físicas";"APLICACOES DIRETAS";"OUTROS AUXÍLIOS FINANCEIROS A PESSOAS FÍSICAS";"Auxílio para Profissionais de Programas de Capacitação";2018;201907;2019;7;"SUPERINTENDÊNCIA EXECUTIVA DE EDUCAÇÃO";;2072;"EDUCAÇÃO DE JOVENS E ADULTOS E ENSINO MÉDIO INTEGRADA OU CONCOMITANTE À EDUCAÇÃO PROFISSIONAL";1016;"PROGRAMA EXCELÊNCIA E EQUIDADE - AÇÕES PARA O DESENVOLVIMENTO E MELHORIA DA EDUCAÇÃO BÁSICA";1498;
3;48;17;90;2402;5;"Despesas Correntes";"Auxílios / Transferências de Recursos à Pessoas Físicas";"APLICACOES DIRETAS";"OUTROS AUXÍLIOS FINANCEIROS A PESSOAS FÍSICAS";"Auxílio para Profissionais de Programas de Capacitação";2019;201907;2019;7;"SUBSEC. DE GOV. EDUCACIONAL";115510,11;2072;"EDUCAÇÃO DE JOVENS E ADULTOS E ENSINO MÉDIO INTEGRADA OU CONCOMITANTE À EDUCAÇÃO PROFISSIONAL";1016;"PROGRAMA EXCELÊNCIA E EQUIDADE - AÇÕES PARA O DESENVOLVIMENTO E MELHORIA DA EDUCAÇÃO BÁSICA";115910,11;
3;11;50;90;2402;10;"Despesas Correntes";"Despesas com Pessoal";"APLICACOES DIRETAS";"VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL";"Vencimentos e Salários";2019;201907;2019;7;"SUBSEC. DE GOV. EDUCACIONAL";324857,57;2073;"EDUCAÇÃO INTEGRAL COM JORNADA AMPLIADA";1016;"PROGRAMA EXCELÊNCIA E EQUIDADE - AÇÕES PARA O DESENVOLVIMENTO E MELHORIA DA EDUCAÇÃO BÁSICA";324857,57;324857,57
3;46;50;90;2402;1;"Despesas Correntes";"Despesas com Pessoal";"APLICACOES DIRETAS";AUXÍLIO-ALIMENTAÇÃO;"Servidores Civis";2019;201907;2019;7;"SUBSEC. DE GOV. EDUCACIONAL";558999,95;2073;"EDUCAÇÃO INTEGRAL COM JORNADA AMPLIADA";1016;"PROGRAMA EXCELÊNCIA E EQUIDADE - AÇÕES PARA O DESENVOLVIMENTO E MELHORIA DA EDUCAÇÃO BÁSICA";558999,95;558999,95
3;39;24;90;2202;29;"Despesas Correntes";"Seleção e Treinamento";"APLICACOES DIRETAS";"OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA";"Serviço de Seleção";2018;201907;2019;7;"SUPERINTENDÊNCIA EXECUTIVA DE EDUCAÇÃO";;2078;"SISTEMA ESTADUAL DE AVALIAÇÃO EDUCACIONAL";1016;"PROGRAMA EXCELÊNCIA E EQUIDADE - AÇÕES PARA O DESENVOLVIMENTO E MELHORIA DA EDUCAÇÃO BÁSICA";1683852;
3;39;24;90;2402;29;"Despesas Correntes";"Seleção e Treinamento";"APLICACOES DIRETAS";"OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA";"Serviço de Seleção";2019;201907;2019;7;"SUBSEC. DE GOV. EDUCACIONAL";502971,33;2078;"SISTEMA ESTADUAL DE AVALIAÇÃO EDUCACIONAL";1016;"PROGRAMA EXCELÊNCIA E EQUIDADE - AÇÕES PARA O DESENVOLVIMENTO E MELHORIA DA EDUCAÇÃO BÁSICA";;
3;31;16;90;2650;1;"Despesas Correntes";"Eventos, Festividades e Homenagens";"APLICACOES DIRETAS";"PREMIAÇÕES CULTURAIS, ARTÍSTICAS, CIENTÍFICAS, DESPORTIVAS E OUTRAS";"Prêmios, Medalhas e Troféus";2019;201907;2019;7;"FUNDO ESPECIAL DE ESPORTE E LAZER";;2079;"PROMOÇÃO E PATROCÍNIO A ATLETAS E EVENTOS ESPORTIVOS";1017;"PROGRAMA GOIÁS GERAÇÃO OLÍMPICA E PARALÍMPICA";3750;
3;39;16;90;2650;5;"Despesas Correntes";"Eventos, Festividades e Homenagens";"APLICACOES DIRETAS";"OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA";"Realizaçõ de Eventos, inclusive Congressos e Conferências";2019;201907;2019;7;"FUNDO ESPECIAL DE ESPORTE E LAZER";3500;2079;"PROMOÇÃO E PATROCÍNIO A ATLETAS E EVENTOS ESPORTIVOS";1017;"PROGRAMA GOIÁS GERAÇÃO OLÍMPICA E PARALÍMPICA";10340;
3;30;2;90;2252;16;"Despesas Correntes";"Limpeza, Manutenção e Vigilância (Bens Móveis e Imóveis)";"APLICACOES DIRETAS";"MATERIAL DE CONSUMO";"Material de Limpeza e Produtos de Higienização";2018;201907;2019;7;"FUNDO ESPECIAL DE ESPORTE E LAZER";;2081;"INICIAÇÃO ESPORTIVA";1017;"PROGRAMA GOIÁS GERAÇÃO OLÍMPICA E PARALÍMPICA";4482,75;
3;92;90;90;2601;23;"Despesas Correntes";"Despesas de Exercícios Anteriores";"APLICACOES DIRETAS";"DESPESAS DE EXERCÍCIOS ANTERIORES";"Indenizações e Restituições";2019;201907;2019;7;"GAB. SEC. ESTADO DE ESPORTE E LAZER";8928,23;2084;PRÓ-ATLETA;1017;"PROGRAMA GOIÁS GERAÇÃO OLÍMPICA E PARALÍMPICA";8928,23;8928,23
3;33;12;90;2551;2;"Despesas Correntes";"Viagem (Diárias/ Hospedagem) e Ajudas de Custo";"APLICACOES DIRETAS";"PASSAGENS E DESPESAS COM LOCOMOÇÃO";"Passagens para Outros Estados";2019;201907;2019;7;"FUNDO EST.CENT.CULT.OSCAR NIEMEYER";118867,2;2088;"ORQUESTRA FILARMÔNICA DE GOIÁS";1018;"PROGRAMA INCENTIVO À CULTURA DO CENTRO CULTURAL OSCAR NIEMEYER";118867,2;118867,2
3;39;16;90;2551;5;"Despesas Correntes";"Eventos, Festividades e Homenagens";"APLICACOES DIRETAS";"OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA";"Realizaçõ de Eventos, inclusive Congressos e Conferências";2019;201907;2019;7;"FUNDO EST.CENT.CULT.OSCAR NIEMEYER";;2088;"ORQUESTRA FILARMÔNICA DE GOIÁS";1018;"PROGRAMA INCENTIVO À CULTURA DO CENTRO CULTURAL OSCAR NIEMEYER";;49139,6
3;39;20;90;1750;40;"Despesas Correntes";"Repasse às Unidades Escolares / Auxílios para Educação e Pesquisa";"APLICACOES DIRETAS";"OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA";"Repasse Direto e Antecipado à Unidade Administrativa";2019;201907;2019;7;"PROTEGE GOIÁS";2806503,27;2091;"FORNECIMENTO DE MERENDA ESCOLAR AOS ALUNOS DA EDUCAÇÃO BÁSICA";1019;"PROGRAMA MELHORIA DA INFRAESTRUTURA FÍSICA, PEDAGÓGICA E TECNOLÓGICA";2804947,09;
3;39;20;90;2402;40;"Despesas Correntes";"Repasse às Unidades Escolares / Auxílios para Educação e Pesquisa";"APLICACOES DIRETAS";"OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA";"Repasse Direto e Antecipado à Unidade Administrativa";2019;201907;2019;7;"SUBSEC. DE GOV. EDUCACIONAL";4673922,27;2091;"FORNECIMENTO DE MERENDA ESCOLAR AOS ALUNOS DA EDUCAÇÃO BÁSICA";1019;"PROGRAMA MELHORIA DA INFRAESTRUTURA FÍSICA, PEDAGÓGICA E TECNOLÓGICA";4670600,65;
3;39;27;90;2402;34;"Despesas Correntes";"Impressão e Reprodução de Documentos";"APLICACOES DIRETAS";"OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA";"Serviços de Cópias e Reprodução de Documentos";2019;201907;2019;7;"SUBSEC. DE GOV. EDUCACIONAL";177602,17;2092;"GESTÃO DA TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO DA SEDUCE";1019;"PROGRAMA MELHORIA DA INFRAESTRUTURA FÍSICA, PEDAGÓGICA E TECNOLÓGICA";19724,57;
3;40;0;90;2402;16;"Despesas Correntes";"Não Agrupado";"APLICACOES DIRETAS";"Serviços de Tecnologia da Informação e Comunicação - Pessoa Jurídica";"Manutenção, Conservação e Instalação de Equipamentos de Tecnologia da Informação";2019;201907;2019;7;"SUBSEC. DE GOV. EDUCACIONAL";18179,84;2092;"GESTÃO DA TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO DA SEDUCE";1019;"PROGRAMA MELHORIA DA INFRAESTRUTURA FÍSICA, PEDAGÓGICA E TECNOLÓGICA";9089,92;432600
3;40;0;90;2402;28;"Despesas Correntes";"Não Agrupado";"APLICACOES DIRETAS";"Serviços de Tecnologia da Informação e Comunicação - Pessoa Jurídica";"Outros Serviços Técnicos Especializados de Tecnologia da Informação";2019;201907;2019;7;"SUBSEC. DE GOV. EDUCACIONAL";3552,85;2092;"GESTÃO DA TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO DA SEDUCE";1019;"PROGRAMA MELHORIA DA INFRAESTRUTURA FÍSICA, PEDAGÓGICA E TECNOLÓGICA";3552,85;
3;40;0;90;2402;84;"Despesas Correntes";"Não Agrupado";"APLICACOES DIRETAS";"Serviços de Tecnologia da Informação e Comunicação - Pessoa Jurídica";"Manutenção, Suporte e Instalação de Softwares";2019;201907;2019;7;"SUBSEC. DE GOV. EDUCACIONAL";335481,24;2092;"GESTÃO DA TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO DA SEDUCE";1019;"PROGRAMA MELHORIA DA INFRAESTRUTURA FÍSICA, PEDAGÓGICA E TECNOLÓGICA";849687,78;
